"filename", "language", "Python", "pip requirements", "Markdown", "JSON", "XML", "comment", "blank", "total"
"c:\Users\zilkf\Documents\Workspace\photonic-backend\CalibrationTools.py", "Python", 262, 0, 0, 0, 0, 76, 123, 461
"c:\Users\zilkf\Documents\Workspace\photonic-backend\Calibration\cal[[-1, 0]].json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\zilkf\Documents\Workspace\photonic-backend\Calibration\cal[[-2, 0]].json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\zilkf\Documents\Workspace\photonic-backend\Calibration\cal[[-3, 0]].json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\zilkf\Documents\Workspace\photonic-backend\Calibration\cal[[-4, 0]].json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\zilkf\Documents\Workspace\photonic-backend\Calibration\cal[[1, 0], [1, 1]].json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\zilkf\Documents\Workspace\photonic-backend\Calibration\cal[[2, 0], [2, 1]].json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\zilkf\Documents\Workspace\photonic-backend\Calibration\cal[[3, 0], [3, 1]].json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\zilkf\Documents\Workspace\photonic-backend\Calibration\get_calibrationAngles.py", "Python", 11, 0, 0, 0, 0, 1, 7, 19
"c:\Users\zilkf\Documents\Workspace\photonic-backend\CircuitLib\circuits4Dv003.json", "JSON", 0, 0, 0, 338, 0, 0, 0, 338
"c:\Users\zilkf\Documents\Workspace\photonic-backend\CircuitLib\circuits4Dv004.json", "JSON", 0, 0, 0, 376, 0, 0, 0, 376
"c:\Users\zilkf\Documents\Workspace\photonic-backend\ControlExperiment.py", "Python", 119, 0, 0, 0, 0, 15, 34, 168
"c:\Users\zilkf\Documents\Workspace\photonic-backend\ControlPlatesArray.py", "Python", 149, 0, 0, 0, 0, 41, 76, 266
"c:\Users\zilkf\Documents\Workspace\photonic-backend\ControlPowermeter.py", "Python", 34, 0, 0, 0, 0, 10, 8, 52
"c:\Users\zilkf\Documents\Workspace\photonic-backend\ControlRemoteExec.py", "Python", 62, 0, 0, 0, 0, 11, 36, 109
